matchday,date,home,away
1,2026-06-11,Mexico,South Africa
1,2026-06-12,Canada,Bosnia and Herzegovina
1,2026-06-12,Korea Republic,Czechia
1,2026-06-13,Brazil,Morocco
1,2026-06-13,Qatar,Switzerland
1,2026-06-13,USA,Paraguay
1,2026-06-14,Australia,Türkiye
1,2026-06-14,Germany,Curaçao
1,2026-06-14,Haiti,Scotland
1,2026-06-14,Netherlands,Japan
1,2026-06-15,Belgium,Egypt
1,2026-06-15,Côte d'Ivoire,Ecuador
1,2026-06-15,Saudi Arabia,Uruguay
1,2026-06-15,Spain,Cabo Verde
1,2026-06-15,Sweden,Tunisia
1,2026-06-16,France,Senegal
1,2026-06-16,IR Iran,New Zealand
1,2026-06-16,Iraq,Norway
1,2026-06-17,Argentina,Algeria
1,2026-06-17,Austria,Jordan
1,2026-06-17,England,Croatia
1,2026-06-17,Portugal,Congo DR
1,2026-06-18,Ghana,Panama
1,2026-06-18,Uzbekistan,Colombia
2,2026-06-18,Canada,Qatar
2,2026-06-18,Czechia,South Africa
2,2026-06-18,Switzerland,Bosnia and Herzegovina
2,2026-06-19,Mexico,Korea Republic
2,2026-06-19,Scotland,Morocco
2,2026-06-19,USA,Australia
2,2026-06-20,Brazil,Haiti
2,2026-06-20,Germany,Côte d'Ivoire
2,2026-06-20,Netherlands,Sweden
2,2026-06-20,Türkiye,Paraguay
2,2026-06-21,Belgium,IR Iran
2,2026-06-21,Ecuador,Curaçao
2,2026-06-21,Spain,Saudi Arabia
2,2026-06-21,Tunisia,Japan
2,2026-06-21,Uruguay,Cabo Verde
2,2026-06-22,Argentina,Austria
2,2026-06-22,France,Iraq
2,2026-06-22,New Zealand,Egypt
2,2026-06-23,England,Ghana
2,2026-06-23,Jordan,Algeria
2,2026-06-23,Norway,Senegal
2,2026-06-23,Portugal,Uzbekistan
2,2026-06-24,Colombia,Congo DR
2,2026-06-24,Panama,Croatia
3,2026-06-24,Bosnia and Herzegovina,Qatar
3,2026-06-24,Morocco,Haiti
3,2026-06-24,Scotland,Brazil
3,2026-06-24,Switzerland,Canada
3,2026-06-25,Curaçao,Côte d'Ivoire
3,2026-06-25,Czechia,Mexico
3,2026-06-25,Ecuador,Germany
3,2026-06-25,South Africa,Korea Republic
3,2026-06-26,Japan,Sweden
3,2026-06-26,Norway,France
3,2026-06-26,Paraguay,Australia
3,2026-06-26,Senegal,Iraq
3,2026-06-26,Tunisia,Netherlands
3,2026-06-26,Türkiye,USA
3,2026-06-27,Cabo Verde,Saudi Arabia
3,2026-06-27,Croatia,Ghana
3,2026-06-27,Egypt,IR Iran
3,2026-06-27,New Zealand,Belgium
3,2026-06-27,Panama,England
3,2026-06-27,Uruguay,Spain
3,2026-06-28,Algeria,Austria
3,2026-06-28,Colombia,Portugal
3,2026-06-28,Congo DR,Uzbekistan
3,2026-06-28,Jordan,Argentina
