matchday,home,away,home_odds,draw_odds,away_odds,total_line,home_xg,away_xg
1,Mexico,South Africa,,,,,,
1,Canada,Bosnia and Herzegovina,,,,,,
1,Korea Republic,Czechia,,,,,,
1,Brazil,Morocco,,,,,,
1,Qatar,Switzerland,,,,,,
1,USA,Paraguay,,,,,,
1,Australia,Türkiye,,,,,,
1,Germany,Curaçao,,,,,,
1,Haiti,Scotland,,,,,,
1,Netherlands,Japan,,,,,,
1,Belgium,Egypt,,,,,,
1,Côte d'Ivoire,Ecuador,,,,,,
1,Saudi Arabia,Uruguay,,,,,,
1,Spain,Cabo Verde,,,,,,
1,Sweden,Tunisia,,,,,,
1,France,Senegal,,,,,,
1,IR Iran,New Zealand,,,,,,
1,Iraq,Norway,,,,,,
1,Argentina,Algeria,,,,,,
1,Austria,Jordan,,,,,,
1,England,Croatia,,,,,,
1,Portugal,Congo DR,,,,,,
1,Ghana,Panama,,,,,,
1,Uzbekistan,Colombia,,,,,,
2,Canada,Qatar,,,,,,
2,Czechia,South Africa,,,,,,
2,Switzerland,Bosnia and Herzegovina,,,,,,
2,Mexico,Korea Republic,,,,,,
2,Scotland,Morocco,,,,,,
2,USA,Australia,,,,,,
2,Brazil,Haiti,,,,,,
2,Germany,Côte d'Ivoire,,,,,,
2,Netherlands,Sweden,,,,,,
2,Türkiye,Paraguay,,,,,,
2,Belgium,IR Iran,,,,,,
2,Ecuador,Curaçao,,,,,,
2,Spain,Saudi Arabia,,,,,,
2,Tunisia,Japan,,,,,,
2,Uruguay,Cabo Verde,,,,,,
2,Argentina,Austria,,,,,,
2,France,Iraq,,,,,,
2,New Zealand,Egypt,,,,,,
2,England,Ghana,,,,,,
2,Jordan,Algeria,,,,,,
2,Norway,Senegal,,,,,,
2,Portugal,Uzbekistan,,,,,,
2,Colombia,Congo DR,,,,,,
2,Panama,Croatia,,,,,,
3,Bosnia and Herzegovina,Qatar,,,,,,
3,Morocco,Haiti,,,,,,
3,Scotland,Brazil,,,,,,
3,Switzerland,Canada,,,,,,
3,Curaçao,Côte d'Ivoire,,,,,,
3,Czechia,Mexico,,,,,,
3,Ecuador,Germany,,,,,,
3,South Africa,Korea Republic,,,,,,
3,Japan,Sweden,,,,,,
3,Norway,France,,,,,,
3,Paraguay,Australia,,,,,,
3,Senegal,Iraq,,,,,,
3,Tunisia,Netherlands,,,,,,
3,Türkiye,USA,,,,,,
3,Cabo Verde,Saudi Arabia,,,,,,
3,Croatia,Ghana,,,,,,
3,Egypt,IR Iran,,,,,,
3,New Zealand,Belgium,,,,,,
3,Panama,England,,,,,,
3,Uruguay,Spain,,,,,,
3,Algeria,Austria,,,,,,
3,Colombia,Portugal,,,,,,
3,Congo DR,Uzbekistan,,,,,,
3,Jordan,Argentina,,,,,,
