id,name,team,position,price,start_prob,goal_share,assist_share,saves_p90,yellow_p90,ownership,pen_taker,avg_points,total_points
374,Ladislav Krejcí,Czechia,DEF,4.4,0.9,0.0127,0.0208,0.0,0.15,0.006,0,0,0
378,Robin Hranác,Czechia,DEF,3.9,0.45,0.0127,0.0208,0.0,0.15,0.0,0,0,0
1405,David Zima,Czechia,DEF,3.9,0.12,0.0127,0.0208,0.0,0.15,0.0,0,0,0
379,Jaroslav Zeleny,Czechia,DEF,3.9,0.12,0.0127,0.0208,0.0,0.15,0.0,0,0,0
375,Tomás Holes,Czechia,DEF,3.9,0.9,0.0127,0.0208,0.0,0.15,0.0,0,0,0
376,David Jurásek,Czechia,DEF,3.9,0.45,0.0127,0.0208,0.0,0.15,0.0,0,0,0
380,Vladimír Coufal,Czechia,DEF,3.6,0.9,0.0127,0.0208,0.0,0.15,0.039,0,0,0
381,Stepán Chaloupek,Czechia,DEF,3.5,0.9,0.0127,0.0208,0.0,0.15,0.001,0,0,0
382,Patrik Schick,Czechia,FWD,7.3,0.9,0.0951,0.0417,0.0,0.15,0.008,0,0,0
1427,Adam Hlozek,Czechia,FWD,6.5,0.45,0.0951,0.0417,0.0,0.15,0.001,0,0,0
1425,Jan Kuchta,Czechia,FWD,5.5,0.12,0.0951,0.0417,0.0,0.15,0.0,0,0,0
383,Tomás Chory,Czechia,FWD,5.3,0.45,0.0951,0.0417,0.0,0.15,0.0,0,0,0
384,Mojmír Chytil,Czechia,FWD,4.9,0.9,0.0951,0.0417,0.0,0.15,0.001,0,0,0
387,Matej Kovár,Czechia,GK,4.1,0.9,0.0,0.0,3.0,0.08,0.004,0,0,0
1400,Jindrich Stanek,Czechia,GK,4.0,0.45,0.0,0.0,3.0,0.08,0.002,0,0,0
388,Lukás Hornícek,Czechia,GK,3.8,0.45,0.0,0.0,3.0,0.08,0.001,0,0,0
397,Pavel Sulc,Czechia,MID,5.9,0.9,0.0423,0.0625,0.0,0.15,0.002,0,0,0
396,Lukás Provod,Czechia,MID,5.9,0.12,0.0423,0.0625,0.0,0.15,0.0,0,0,0
395,Michal Sadílek,Czechia,MID,5.6,0.12,0.0423,0.0625,0.0,0.15,0.0,0,0,0
393,Tomás Soucek,Czechia,MID,5.6,0.9,0.0423,0.0625,0.0,0.15,0.005,0,0,0
391,Vladimír Darida,Czechia,MID,5.3,0.45,0.0423,0.0625,0.0,0.15,0.0,0,0,0
390,Lukás Cerv,Czechia,MID,5.3,0.45,0.0423,0.0625,0.0,0.15,0.0,0,0,0
1413,David Doudera,Czechia,MID,5.1,0.12,0.0423,0.0625,0.0,0.15,0.0,0,0,0
373,Denis Visinsky,Czechia,MID,4.9,0.9,0.0423,0.0625,0.0,0.15,0.0,0,0,0
1411,Alexandr Sojka,Czechia,MID,4.5,0.12,0.0423,0.0625,0.0,0.15,0.0,0,0,0
1417,Hugo Sochurek,Czechia,MID,4.3,0.9,0.0423,0.0625,0.0,0.15,0.001,0,0,0
715,Kim Min-Jae,Korea Republic,DEF,5.0,0.9,0.012,0.0213,0.0,0.15,0.023,0,0,0
1548,Lee Gi-Hyuk,Korea Republic,DEF,4.5,0.9,0.012,0.0213,0.0,0.15,0.001,0,0,0
716,Seol Young-Woo,Korea Republic,DEF,4.2,0.9,0.012,0.0213,0.0,0.15,0.001,0,0,0
718,Kim Moon-Hwan,Korea Republic,DEF,3.9,0.45,0.012,0.0213,0.0,0.15,0.0,0,0,0
2070,Cho Wi-Je,Korea Republic,DEF,3.7,0.12,0.012,0.0213,0.0,0.15,0.0,0,0,0
720,Lee Tae-Seok,Korea Republic,DEF,3.7,0.12,0.012,0.0213,0.0,0.15,0.0,0,0,0
719,Lee Han-Beom,Korea Republic,DEF,3.7,0.45,0.012,0.0213,0.0,0.15,0.0,0,0,0
722,Kim Tae-Hyeon,Korea Republic,DEF,3.6,0.9,0.012,0.0213,0.0,0.15,0.001,0,0,0
723,Son Heung-Min,Korea Republic,FWD,7.4,0.9,0.0904,0.0426,0.0,0.15,0.022,0,0,0
724,Hwang Hee-Chan,Korea Republic,FWD,6.1,0.9,0.0904,0.0426,0.0,0.15,0.001,0,0,0
725,Cho Gue-Sung,Korea Republic,FWD,5.3,0.45,0.0904,0.0426,0.0,0.15,0.0,0,0,0
726,Oh Hyeon-Gyu,Korea Republic,FWD,4.9,0.45,0.0904,0.0426,0.0,0.15,0.001,0,0,0
727,Yang Hyun-Jun,Korea Republic,FWD,4.7,0.12,0.0904,0.0426,0.0,0.15,0.0,0,0,0
728,Eom Ji-Sung,Korea Republic,FWD,4.6,0.12,0.0904,0.0426,0.0,0.15,0.0,0,0,0
729,Jo Hyeon-Woo,Korea Republic,GK,4.6,0.9,0.0,0.0,3.0,0.08,0.002,0,0,0
730,Kim Seung-Gyu,Korea Republic,GK,4.1,0.45,0.0,0.0,3.0,0.08,0.001,0,0,0
731,Song Bum-Keun,Korea Republic,GK,3.9,0.45,0.0,0.0,3.0,0.08,0.0,0,0,0
737,Lee Jae-Sung,Korea Republic,MID,6.2,0.9,0.0402,0.0638,0.0,0.15,0.001,0,0,0
736,Lee Kang-In,Korea Republic,MID,6.1,0.9,0.0402,0.0638,0.0,0.15,0.005,0,0,0
735,Bae Jun-Ho,Korea Republic,MID,5.9,0.12,0.0402,0.0638,0.0,0.15,0.0,0,0,0
1549,Hwang In-Beom,Korea Republic,MID,5.8,0.12,0.0402,0.0638,0.0,0.15,0.0,0,0,0
732,Paik Seung-Ho,Korea Republic,MID,5.6,0.45,0.0402,0.0638,0.0,0.15,0.0,0,0,0
733,Jens Castrop,Korea Republic,MID,5.6,0.45,0.0402,0.0638,0.0,0.15,0.0,0,0,0
713,Park Jin-Seob,Korea Republic,MID,4.9,0.9,0.0402,0.0638,0.0,0.15,0.0,0,0,0
1550,Lee Dong-Gyeong,Korea Republic,MID,4.9,0.12,0.0402,0.0638,0.0,0.15,0.0,0,0,0
714,Kim Jin-Gyu,Korea Republic,MID,4.9,0.9,0.0402,0.0638,0.0,0.15,0.0,0,0,0
742,Jesús Gallardo,Mexico,DEF,4.7,0.9,0.0109,0.02,0.0,0.15,0.005,0,0,0
741,César Montes,Mexico,DEF,4.7,0.9,0.0109,0.02,0.0,0.15,0.005,0,0,0
740,Johan Vásquez,Mexico,DEF,4.7,0.9,0.0109,0.02,0.0,0.15,0.014,0,0,0
744,Israel Reyes,Mexico,DEF,4.0,0.45,0.0109,0.02,0.0,0.15,0.005,0,0,0
743,Jorge Sánchez,Mexico,DEF,4.0,0.9,0.0109,0.02,0.0,0.15,0.008,0,0,0
1465,Mateo Chávez,Mexico,DEF,3.5,0.45,0.0109,0.02,0.0,0.15,0.005,0,0,0
748,Raúl Jiménez,Mexico,FWD,7.0,0.9,0.0817,0.04,0.0,0.15,0.023,0,0,0
1485,Santiago Giménez,Mexico,FWD,6.8,0.9,0.0817,0.04,0.0,0.15,0.006,0,0,0
750,Julián Quiñones,Mexico,FWD,5.6,0.45,0.0817,0.04,0.0,0.15,0.003,0,0,0
752,Roberto Alvarado,Mexico,FWD,5.3,0.12,0.0817,0.04,0.0,0.15,0.0,0,0,0
751,Alexis Vega,Mexico,FWD,5.3,0.12,0.0817,0.04,0.0,0.15,0.001,0,0,0
753,Guillermo Martínez,Mexico,FWD,4.7,0.45,0.0817,0.04,0.0,0.15,0.002,0,0,0
754,Armando González,Mexico,FWD,4.4,0.12,0.0817,0.04,0.0,0.15,0.002,0,0,0
755,Guillermo Ochoa,Mexico,GK,4.2,0.9,0.0,0.0,3.0,0.08,0.051,0,0,0
756,Carlos Acevedo,Mexico,GK,4.0,0.45,0.0,0.0,3.0,0.08,0.003,0,0,0
757,Raúl Rangel,Mexico,GK,3.9,0.45,0.0,0.0,3.0,0.08,0.04,0,0,0
763,Álvaro Fidalgo,Mexico,MID,6.4,0.9,0.0363,0.06,0.0,0.15,0.003,0,0,0
1473,César Huerta,Mexico,MID,6.3,0.12,0.0363,0.06,0.0,0.15,0.001,0,0,0
1477,Luis Chávez,Mexico,MID,6.3,0.45,0.0363,0.06,0.0,0.15,0.002,0,0,0
762,Orbelín Pineda,Mexico,MID,6.2,0.12,0.0363,0.06,0.0,0.15,0.001,0,0,0
1474,Edson Álvarez,Mexico,MID,6.0,0.9,0.0363,0.06,0.0,0.15,0.005,0,0,0
759,Érik Lira,Mexico,MID,5.6,0.12,0.0363,0.06,0.0,0.15,0.001,0,0,0
1478,Luis Romo,Mexico,MID,5.5,0.12,0.0363,0.06,0.0,0.15,0.0,0,0,0
758,Brian Gutiérrez,Mexico,MID,5.0,0.9,0.0363,0.06,0.0,0.15,0.012,0,0,0
738,Obed Vargas,Mexico,MID,4.7,0.45,0.0363,0.06,0.0,0.15,0.002,0,0,0
1476,Gilberto Mora,Mexico,MID,4.5,0.9,0.0363,0.06,0.0,0.15,0.007,0,0,0
1063,Aubrey Modiba,South Africa,DEF,3.7,0.9,0.0135,0.0227,0.0,0.15,0.001,0,0,0
1064,Thabang Matuludi,South Africa,DEF,3.7,0.45,0.0135,0.0227,0.0,0.15,0.0,0,0,0
1701,Bradley Cross,South Africa,DEF,3.6,0.12,0.0135,0.0227,0.0,0.15,0.0,0,0,0
1065,Khuliso Mudau,South Africa,DEF,3.6,0.9,0.0135,0.0227,0.0,0.15,0.001,0,0,0
1066,Nkosinathi Sibisi,South Africa,DEF,3.6,0.45,0.0135,0.0227,0.0,0.15,0.0,0,0,0
1700,Olwethu Makhanya,South Africa,DEF,3.5,0.9,0.0135,0.0227,0.0,0.15,0.003,0,0,0
1070,Samukele Kabini,South Africa,DEF,3.5,0.12,0.0135,0.0227,0.0,0.15,0.0,0,0,0
1069,Ime Okon,South Africa,DEF,3.5,0.12,0.0135,0.0227,0.0,0.15,0.0,0,0,0
1068,Khulumani Ndamane,South Africa,DEF,3.5,0.12,0.0135,0.0227,0.0,0.15,0.0,0,0,0
1067,Mbekezeli Mbokazi,South Africa,DEF,3.5,0.9,0.0135,0.0227,0.0,0.15,0.003,0,0,0
1071,Lyle Foster,South Africa,FWD,5.4,0.9,0.1011,0.0455,0.0,0.15,0.001,0,0,0
1073,Oswin Appollis,South Africa,FWD,4.9,0.45,0.1011,0.0455,0.0,0.15,0.001,0,0,0
1072,Relebohile Mofokeng,South Africa,FWD,4.9,0.9,0.1011,0.0455,0.0,0.15,0.001,0,0,0
1075,Evidence Makgopa,South Africa,FWD,4.5,0.45,0.1011,0.0455,0.0,0.15,0.0,0,0,0
1076,Thapelo Maseko,South Africa,FWD,4.2,0.12,0.1011,0.0455,0.0,0.15,0.0,0,0,0
1077,Ronwen Williams,South Africa,GK,4.5,0.9,0.0,0.0,3.0,0.08,0.004,0,0,0
1078,Ricardo Goss,South Africa,GK,3.7,0.45,0.0,0.0,3.0,0.08,0.0,0,0,0
1698,Sipho Chaine,South Africa,GK,3.7,0.45,0.0,0.0,3.0,0.08,0.0,0,0,0
1707,Iqraam Rayners,South Africa,MID,5.3,0.12,0.0449,0.0682,0.0,0.15,0.0,0,0,0
1062,Yaya Sithole,South Africa,MID,5.1,0.45,0.0449,0.0682,0.0,0.15,0.0,0,0,0
1061,Tshepang Moremi,South Africa,MID,4.9,0.45,0.0449,0.0682,0.0,0.15,0.0,0,0,0
1060,Thalente Mbatha,South Africa,MID,4.9,0.9,0.0449,0.0682,0.0,0.15,0.0,0,0,0
1704,Kamogelo Sebelebele,South Africa,MID,4.5,0.12,0.0449,0.0682,0.0,0.15,0.0,0,0,0
