team,group,fifa_rank,ranking_points
England,L,1,1768
France,I,2,1767
Spain,H,3,1729
Portugal,K,4,1686
Argentina,J,5,1673
Brazil,C,6,1653
Germany,E,7,1645
Norway,I,8,1613
Netherlands,F,9,1604
Switzerland,B,10,1578
Uruguay,H,11,1577
Belgium,G,12,1576
Senegal,I,13,1556
Mexico,A,14,1551
Colombia,K,15,1544
Croatia,L,16,1541
Morocco,C,17,1533
Türkiye,D,18,1531
Austria,J,19,1527
Sweden,F,20,1523
USA,D,21,1520
Korea Republic,A,22,1517
Côte d'Ivoire,E,23,1516
Czechia,A,24,1511
Algeria,J,25,1507
Paraguay,D,26,1505
Canada,B,27,1497
Uzbekistan,K,28,1494
Egypt,G,29,1493
Japan,F,30,1489
Ghana,L,31,1487
Congo DR,K,32,1480
Ecuador,E,33,1476
Bosnia and Herzegovina,B,34,1460
Saudi Arabia,H,35,1460
Scotland,C,36,1459
IR Iran,G,37,1458
Australia,D,38,1451
Panama,L,39,1448
Qatar,B,40,1436
Iraq,I,41,1425
New Zealand,G,42,1422
Cabo Verde,H,43,1405
South Africa,A,44,1400
Tunisia,F,45,1388
Haiti,C,46,1377
Jordan,J,47,1359
Curaçao,E,48,1347
